rootId:ID,root,transliteration,:LABEL,descriptionTr,descriptionEn,translationTr,translationEn
361,"ملل","mll","Root","to dictate, embrace a religion, creed/faith.","","dinde","religion"
362,"تمم","tmm","Root","To be entire/full/whole, blossom, full-grown, complete, perfect, fulfilled, accomplish.","","tamamla","perfect"
363,"ذرر","prr","Root","to scatter, strew, sprinkle, rise.","","zerre","children"
364,"نيل","nyl","Root","to obtain/procure, get, attain, reach, matter.","","erişir","reach"
365,"بيت","byt","Root","","","ev","House"
366,"طوف","Twf","Root","act of going/walking, going/walking around or otherwise, to go or wander about, circuited/compassed, journeyed, came to him, come upon, visitation, visit, approach, drew near, to go round or round about often, encompass,","","bölük","a group"
367,"عكف","Ekf","Root","to arrange, set a thing in order, he kept or clave to it constantly and perseveringly, continue intently, they went round something, advance/approach it, withheld/detain/confined, to seclude oneself, remain/stay/dwell.","","tapan","devoted"
368,"بلد","bld","Root","","","şehri","city"
369,"صير","Syr","Root","to go, become, tend towards. masiir - the act of going, journey, departure. To retreat, result, issue.","","dönüş","reach"
370,"قعد","qEd","Root","to sit down, remain behind, to hold back, to tarry, lie in wait, sit still, remain unmoved, desist, abstain, refrain, lurk in ambush, set snares, neglect, act of sitting, foundations/bases, women who are past child bearing age, elderly spinsters past child bearing age, one who sits at home, one who sits still, seat or place of sitting, station, encampment.","","oturun","sit"
371,"نسك","nsk","Root","to lead a devout life, be pious, be godly, worship/serve God, sacrifice, slaughter an animal by way of sacrifice, act of worship/servitude, performers/observers of such acts, rite of devotion, to wash and purify, to apply oneself.","","uydukları","a rite"
372,"عزز","Ezz","Root","mighty/potent/powerful/strong, noble/honourable/glorious, resisted/withstood, invincible, overcome (e.g. in argument), exalt, prevail, highly esteemed, precious, glory, vanity, excellent, proud and hard manner, stern.","","güç","Aziz"
373,"رغب","rgb","Root","to desire, long for, wish, he made it wide/ample. With 'an - to show aversion to, dislike, have no desire. With ba and 'an (9:120) - to have preferred their own lives to his life. With ila - to supplicate. raghbun - love, longing. raghibun - one who supplicates earnestly.","","umarak","(in) hope"
374,"صفو","Sfw","Root","it became clear/limpid/pure (often said of a drink), opposite of Kaf-Dal-Ra, free from turbidness/thickness/muddiness, free from admixture, became cloudless (said of air/atmosphere, but also said of love/life/mind/heart), clear/pure/best/choice/favoured part/potion, clear/clarify, true/sincere, distinguish particularly/specially, select/elect/prefer, serenity of life, comfort, reciprocal sincerity/purity.","","süzme","chose"
375,"وصي","wSy","Root","to join to, be joined, be contiguous, to have dense vegetation. wassa - to bequeath, recommend, order, command with wise counsel and sermon, charge, exhort, enjoin, make a will.","","yapılan","any will"
376,"حضر","HDr","Root","To be present, present at, stand in presence of, hurt, be at hand. To come or arrive, to be ready or prepared, to attend someone or come into someones presence, to present oneself to or before a thing or person, to visit a person, to be in the vicinity of a place, to live or dwell in or become an inhabitant of a place, witness or see a thing, behold a thing with one's eye, to answer or reply, dispute or debate, contend with and overcome someone, to intrude.","","hazır","came to"
377,"اله","Alh","Root","to serve, worship or adore; to protect, grant refuge, preserve save, rescue, liberate; object of worship ie God; (Alif-Lam-Lam-ha) God, the one true God applied as a proper name denoting the true god, comprising all the excellent divine names; a unity comprising all the essences of existing things.","","ilah","god"
378,"ابو","Abw","Root","father/grandfather/ancestor, fathership/paternity, to nourish/feed/rear, bring up.","","Ebu","fathers"
379,"حنف","Hnf","Root","To lean to one side, incline or decline, turn away from error to guidance, incline to the right religion, stand firmly on one side, leave a false religion and turn to right, act according to the law of Abraham,. to be circumcised, turn away from the worship of idols, apply or devote oneself to religious services, incline to or have a right state or tendency.","","hanif","a true"
380,"سبط","sbT","Root","","","kabileye","tribes"
381,"كفي","kfy","Root","To be enough, sufficient.","","kâfi","sufficient"
382,"صبغ","Sbg","Root","to dye, colour, baptize, dip, immerse, hue, assume the attribute, mode, mature, code of law, religion, nature.","","boyası","at coloring"
383,"وسط","wsT","Root","middle, midst, among, best, best part of a thing, mediate/intercede between, most remote from the extremes, equidistant, intermediate, most conforming/equitable/just/balanced, most excellent of them in particular, occupy the middle position.","","orta","average"
384,"عقب","Eqb","Root","to succeed, take the place of, come after, strike on the heel, come at the heel, follow anyone closely. aqqaba - to endeavour repeatedly, return, punish, requitt, retrace one's step. aqab - to die, leave offsprings, give in exchange. aqabatun - place hard to ascent. uqbun - success. ta'aqqaba - to take careful information, shout, follow step by step. aqub - heel, son, grandson, offspring, pivot, axis. uqba - requital, result, reward, end, success. iqab (pl. aqubat) - punishment after sin, one who puts off or reverses, who looks at the consequence or result of the affair. mu'aqqibat - who succeed each other, some thing that comes immediately after another thing or succeeds another thing without interruption. It is a double plural feminine of mu'aqqib. The plural feminine form indicates the frequency of the deeds, since in Arabic the feminine form is sometimes employed to impart emphasis and frequency.","","sonu","return"
385,"ضيع","DyE","Root","perished, came to nought, passed away, became lost, left alone, neglected, unmindful, destroyed, wasted.","","zayi etmez","let go waste"
386,"راف","rAf","Root","to be compassionate/kind/merciful, pity, conciliate, tenderness, clement, mild.","","şefkat","compassion"
387,"شطر","$Tr","Root","to part in two, divide into halves, the direction of, towards.","","doğru","(in) its direction"
388,"مري","mry","Root","To draw forth a thing, to dispute or contend, to doubt.","","kuşku","doubt"
389,"سبق","sbq","Root","","","koşun","Race"
390,"جوع","jwE","Root","To be hungry, empty in the belly, hunger or long for a thing, to desire and long (as though hungering) for a thing.","","açlık","hunger"
391,"نقص","nqS","Root","to diminish, decrease, run low, lessen, cause loss or deficiency, consume, fall short, waste, abate.","","eksik","lessen"
392,"مول","mwl","Root","To be abundant in weath, possess an abundance of property.","","mal","wealth"
393,"جنح","jnH","Root","to lean/incline, to bend/stoop, side.","","günah","sin"
394,"طوع","TwE","Root","to obey, permit/consent, obedience, to do voluntarily, do an act with effort. istaa'a - to be able, have power, be capable of.","","uyduk","obey"
395,"فلك","flk","Root","become round, anything circular, persist/persevere, ship, Ark, the place of the revolving of the stars, the celestial sphere, vault of heaven, firmament, surrounding spheres, sky, revolvement, circling, circuit, going to and fro, in a state of commotion, whirl of a spindle, one who goes round.","","gemi","the ship"
396,"بثث","bvv","Root","spread/dispersed/scattered, published/revealed.","","dağılan","scattered"
397,"دبب","dbb","Root","to go gently, crawl/creep/walk, hit, expine, flow, throw.","","canlı","creature"
398,"صرف","Srf","Root","to turn away, divert, avert, propound, set forth, vary. sarfun - act of averting. masrifun - place to turn to, refuge. masruufun - averted. sarrafa (vb. 2) - to explain. tasrif - change (of wind). insarafa (vb. 7) - to turn aside.","","savdı","Avert"
399,"سحب","sHb","Root","","","bulutu","Clouds"
400,"سخر","sxr","Root","","","alaya","mocked"
401,"حبب","Hbb","Root","To be loved/beloved, affected/liked/approved, be an object of love, lovely/pleasing/charming, take pleasure in a thing, stand still or stop, be fatigued or tired, form a thing into something else, fill or statiate a thing (with water or drink), become clotted/form a clot, form or break out with pimples/bubbles/small pustules. To love, like, wish.","","dane","love"
402,"سبب","sbb","Root","","","bağları","insult"
403,"كرر","krr","Root","To return to, return successively, run against, repeat, come back, follow by turns, be wound (thread), repeating once or more than once, a rope (made in the form of a hoop) by means of which one ascends a palm tree.","","tekrar","a return"
404,"حسر","Hsr","Root","To get tired/fatigued/jaded, fall short. To remove/put off/take off/strip off something, to peel, to sweep, to sink and disappear, to be low or retired, to be weary, to be dim or dull, express grief or sorrow or regret, to despise someone, to annoy or vex someone, drive someone away, cause someone to experience or fall into grief or regret, to moult or shed feathers (birds), to fall or fall off due to fatigue, to uncover something, to be removed or cleared away.","","dert","Alas"
405,"حلل","Hll","Root","To untie/undo/open (a knot), remit (sin), solve (a difficulty/problem/riddle), unbind, absolve, melt/liquefy. To analyze a thing. Abode/lodge/inhabit/settle in a place, take or occupy a place, that which is due or necessary, expiate/take back/free an oath, make an exception in one's oath, to esteem or deem a thing lawful or allowable.","","helal","lawful"
406,"خطو","xTw","Root","To step/walk or pace, pass over, beremoved or repelled from a thing, go far from, step wide.","","adımlarını","footsteps"
407,"فحش","fH$","Root","became excessive/immoderate/enormous/exorbitant/overmuch/beyond measure, foul/bad/evil/unseemly/indecency/abominable, lewd/gross/obscene, committing excess which is forbidden, transgress the bounds/limits, avaricious, adultery/fornication.","","fuhuş","adultery"
408,"لفو","lfw","Root","to find/encounter","","buldular","found"
409,"لحم","lHm","Root","flesh/meat, to feed with flesh, skin/hide/cloth.","","et","meat"
410,"خنزر","xnzr","Root","swine/pig.","","domuz","(of) swine"
411,"هلل","hll","Root","to appear (new moon), beginning (of lunar month). ahalla - to invoke the name of God upon an animal before slaughtering it.","","kesilen","the new moons"
412,"بطن","bTn","Root","","","karnı","within"
413,"رقب","rqb","Root","to guard, observe, watch, respect, regard, wait for, tie by the neck, warn, fear, control. raqib - guard, observer, watcher. yataraqqab - observing, awaiting, looking about, watching. riqab - neck, slave, captive of war, captive who has contracted with his master or custodian for his freedom thus the expression firriqab would mean in the ransoming of slaves or captives, its sing. is raqabah. murtaqib - one who guards etc.","","kölelere","a neck"
414,"قصص","qSS","Root","to impart, tell/communicate/narrate/recount, follow one's track, retrace, retaliate, cut off, relate, declare, make mention of. qasasun - narrative, act of following. qisas - just retaliation.","","kısas","relate"
415,"حرر","Hrr","Root","To be free (slave), be freeborn, to free/emancipate/liberate a slave. To be hot or very hot, to burn up and become fierce or hot, to thirst, become thirsty, become dry from thirst or grief, to heat water, to be vehement and great in extent, make a writing beautiful and elegant and free from defects, to write well and accurately, write accurately and exactly and without mistake.","","hür","freeing"
416,"انث","Anv","Root","","","dişi","female"
417,"اخو","Axw","Root","Male person having the same parents as another or a male only having one parent in common; person of the same descent/land/creed/faith with others; brother; friend; companion; match; fellow of a pair; kinsman; intimately acquainted.","","kardeş","O sister"
418,"ادي","Ady","Root","he made or caused it to arrive/come/reach, he brought/conveyed/delivered it, fulfilment/payment, paid/discharged/acquitted.","","ödesin","render"
419,"لبب","lbb","Root","To be gifted with a penetrative mind, be kind hearted, tender/affectionate/compassionate, remain/dwelt & kept to it, expert/clever, insightful, posessed of understanding/intellect, mind.","","akıl","(of) understanding"
420,"جنف","jnf","Root","To incline or decline (in speech and all affairs), decline or deviate from the right course, act wrongfully/unjustly/tyrannically, deviate from that which is right, act unjustly or wrongfully in judgement, incline to a wrong course or decline from the right course, carry oneself in a proud and self-conceited manner.","","hata(sından)","inclining"
421,"صوم","Swm","Root","to fast/abstain.","","savm","fast"
422,"سفر","sfr","Root","","","sefer","books"
423,"طوق","Twq","Root","to be able, be in a position to do something. taaqatun - ability, power, strength. ataaqa (vb. 4) - to be able to do a thing. tawwaqa (vb. 2) - to twist a collar, put a neck-ring on, impose a difficult task on a person, enable, hang around neck, impose, lay upon, encircle. ataaqa (vb. 4) - to be able to do a thing, find extremely hard and difficult to bear, do a thing with great difficulty. taaqat - the utmost that a person can do.","","gücümüz yok","strength"
424,"شهر","$hr","Root","make it notable/known/manifest/public/infamous (in a bad or good sense), hire/contract for a month, stay a month, month old, month, new moon, moon, full moon, any evil thing that exposes its author to disgrace, a vice/fault or the like, big & bulky, reputable/eminent.","","ay","Month"
425,"قرا","qrA","Root","okumak; derlemek, biriktirmek, yığmak, biriktirip dağıtmak; anlatmak, açıklamak, izah etmek, nakletmek; araştırmak, soruşturmak, incelemek. <br><br>~ Aramice ḳarā קרא‎ çağırma, seslenme <br><br> <strong>Türkçe’ye girmiş türevler : </strong>kari, kuran, kıraat, kıraathane","","oku","read"
426,"يسر","ysr","Root","become gentle/tractable/manageable/easy/submissive/liberal, become little in quantity/paltry / no weight or worth, come from left, divide into parts/portions, make easy/smooth, adapt/accommodate, play with gaming arrows (al maysiri), a game for stakes/wagers involving risk.","","az","easy"
427,"عسر","Esr","Root","to be difficult/hard, be hard to one another, hardship.","","çetin","hardship"
428,"كمل","kml","Root","complete, in total, in all, perfect achieved.","","tam","in all"
429,"جوب","jwb","Root","Make a hole in a thing, rend or tear a thing, perforate/pierce/bore, to cut a thing, hollow a thing out, traverse or cross, cut through by journeying, penetrate, reply or answer or respond, illuminate and render clear, to shield.","","uyun","respond"
430,"رشد","r$d","Root","to follow the right way, be well guided or directed, true direction, correct rule of action, straight forwardness, maturity of a child/intellect, capacity to manage one's affairs.","","akıl","a guide"
431,"رفث","rfv","Root","sexual conduct, sex, lie with for sexual relationship, behave obscenity, immodest speech, sexuality, lewdness.","","yaklaşmak","sexual relations"
432,"خون","xwn","Root","To be unfaithful or act unfaithfully to the confidence or trust reposed in a person, act treacherously or unfaithfully, neglect or fail in trustworthiness or faithfulness/loyalty, act contrary to what is right by breaking a pact or covenant, make to suffer loss or diminution, break off/become severed, alter the state or condition of a thing or person for the worse, diminish/waste/impair/take from a thing little by little, languid or weak, intentionally look at a thing which it is not allowable to look, make a look that induces suspicion or evil opinion.","","hain","betray"
433,"خيط","xyT","Root","To thread, sew/sew together/sew up, couple one thing with another, pass by or to or towards a person or thing, run/pass along quickly, journey without interruption (not pausing for anything), to be streaked with whiteness of the hair or beard, sew with a thread or string, to be scattered or in an abject state.","","iğne","the thread"
434,"بيض","byD","Root","","","beyaz","eggs"
435,"سود","swd","Root","","","kara","dark"
436,"حدد","Hdd","Root","To define a limit, determine (a thing), punish (a culprit), prevent, thrust back, throw back, sharpen. To hinder/impede/restrain, to debar or withhold or forbid/prohibit, to interdict, repel/turn away/avert, inflict castigation or punishment, distinguish or separate one thing from another by a mark or note, edge or sharpen a knife, look sharply or intently or attentively at a person or thing, to be sharp [or effective] in respect of eloquence or intellect or understanding or anger.","","sivri","iron"
437,"دلو","dlw","Root","To let down (e.g. a bucket into a well), to lower, a bucket.","","kovasını","his bucket"
438,"وقت","wqt","Root","to fix, defined/determined/limited a thing as to time, appoint/declare/assign a time, measure of time (e.g. season).","","vaktin","its time"
439,"ثقف","vqf","Root","to get the better, come upon, find, catch, take, gain the mastery over, be intelligent, skilled, meet, overtake/overcome.","","bulursanız","you find them"
440,"نهي","nhy","Root","to prevent, forbid, chide away, prohibit, make one to stop from, restrain, interdict, hinder, desist, refrain.","","akıl","cease"
441,"هلك","hlk","Root","to die, perish, wasted, be lost, destroyed, spoiled.","","ölen","died"
442,"حصر","HSr","Root","To be strait, restricted, hindered. To straiten and encompass/surround someone, prevent someone from going to his business, besiege/beset/confine someone, to confine/keep close/imprison/detain/retain/restrain/withhold someone, withhold or prevent someone from journeying, prevent someone from a thing he desires, take the whole of a thing, take/acquire a thing to oneself, suffer suppression of the bowels or unrinary tract, unable to express one's mind/say what one would, unable to find words to express what one would say, to falter in speech, to falter and be unable to proceed in reading or recitation, to be impeded or straitened, abstain from sexual intercourse, to be impotent, contracted in the bosom, to be niggardly/tenacious/penurious/avaricious, conceal a thing, refrain from divulging a thing.","","kuşatıcı","and chaste"
443,"حلق","Hlq","Root","peel, strip, remove, shave, annoy, unlucky, destroy or cut off entirely, coat of mail, turn or drew a circle, cancel the pay/stipend/allowance of one, halo, it was/became high, become little in quantity and went away, ripening, sharp, quick, swift, agile, active, a high mountain rising above what surrounds it and without vegetable produce, ring, razor, sharp (said of a sword or man).","","boğaza","shave"
444,"راس","rAs","Root","head, head/chief/commander/ruler/governor/prince, strike on the head, set any one over, become high in rank/condition, highest or uppermost part, the capital/principal of money, the beginning or first part, numerous and strong company of people.","","ana","(is)"
445,"بلغ","blg","Root","","","üstün","reach"
446,"اذي","Apy","Root","he was or became annoyed/molested/hurt, experience/suffer what is disagreeable, state of annoyance.","","eziyet","harm"
447,"ثلث","vlv","Root","to become three in division or number, a third part of a thing, one third, by threes, the third of any number.","","üç","three"
448,"جدل","jdl","Root","To twist something firmly, make something firm or strong or compact, become hard and strong, contend or litigate in an altercation/dispute vehemently or violently, throw someone down, according to later usage (of the lawyers) to compare evidences [in a discussion with another person or other persons] in order that it might appear which of those evidences was preponderant, compete in disputation or contention and in striving to overcome [thereby], build or construct, rule a thing with lines [such as a book is ruled round a page].","","savunma","argue"
449,"زود","zwd","Root","to furnish with grace/provision, provision for travelling or fixed residence, any acquirement in which one becomes changed in state/condition or rather whereby one provides for a change of state/condition as a traveller provides for a journey, a bag/receptacle, stock.","","azığın","provision"
450,"فيض","fyD","Root","to be copious, overflow, abound, flow freely, spread. afada - to pour, proceed, return, be immersed in any business or communication, go from a place to another in a crowd. (it is both transitive and intransitive)","","akarak","Pour"
451,"نصب","nSb","Root","to fix, raise/setup/establish, act with hostility/emnity, he put down a thing, fatigued/tired, suffer difficulty/distress/affliction, nasiba - to use diligence, toil/labour, be instant.","","nasibi","share"
452,"سرع","srE","Root","","","çabuk","hasten"
453,"حسب","Hsb","Root","To think, consider, suppose, imagine, be of opinion. To number/count/compute/calculate a thing, to reckon, to measure, to account or esteem a thing, to suppose or think a thing to be so, to support with a pillow or honour a person, reckon or call to account, give a person what suffices or satisfies him, to content a person, give a person what contents him, to give much, seek after news, inquire/ask respecting news, search after news as a spy, recline upon a pillow, reckon upon or seek a reward.","","sanma","think"
454,"حشر","H$r","Root","To congregate/collect/gather together, raise from the dead, banish, drive them from one place to another, to make thin or slender or small, make a thing sharp and pointed (e.g. spear-head and a knife).","","haşirde","Gather"
455,"عجب","Ejb","Root","to wonder, marvel, be astonished, be amazed, delight, please, admire, astounding, matter of wonder.","","tuhaf","amazing"
456,"لدد","ldd","Root","To hold an alteration with anyone, quarrel, contend violently, stubborn/rigid/contentious, withhold, hinder.","","inatçı","hostile"
457,"خصم","xSm","Root","Contend in an altercation, dispute/litigate in a sound or valid manner, to say a thing such as may cause the listener to refrain/desist from his assertion/plea/claim, overcome someone in an altercation, antagonize, put a thing on the edge/side or corner of something.","","çekişen","dispute"
458,"نسل","nsl","Root","to beget, be fruitful in progeny. nasila - to hasten, crash.","","ve nesli","descend"
459,"مهد","mhd","Root","To make a place or thing plain or even or smooth, to prepare or establish, to gain or earn, seek to gain, to work for oneself, to spread or be spread (namely a bed).","","beşik","ease"
460,"كفف","kff","Root","To withhold, desist, refrain from, withdraw, keep back, hold out the hand.","","kırar","restrain"
461,"زين","zyn","Root","To adorn, deck. Adorn, grace, honor [said of an action, quality, or saying]. Embellished, dressed, or trimmed it [relating to language]. Adorned [ex. The earth, or land, became adorned with or by it's herbage], ornamented, decorated, decked, bedecked, garnished, embellished, beautified, or graced him/it. Of language it is said: ""It was embellished, dressed up, or trimmed"". Of action it is said: ""It was embellished, dressed up""; i.e. commended to a person by another man. A grace, a beauty, a comely quality, a physical/intellectual adornment, an honour or a credit, and anything that is the pride or glory of a person or a thing. A thing that does not disgrace or render unseemly a wise man in any of his states or conditions, either in the present world or in that which is to come. It [states] are of three kinds: Mental: Such as knowledge/science and good tenants. Bodily: Strength, tallness of stature, beauty of aspect. Extrinsic: Wealth, rank or station, dignity.","","süsü","splendor"
462,"زلزل","zlzl","Root","to set in motion/commotion, agitation, convulsion, earthquake.","","depremi","is shaken"
463,"كره","krh","Root","To find difficult, dislike, disapprove, feel aversion to, be averse from, loathe, abhor, hate, detest, be unwilling.","","zorla","hate"
464,"عسي","Esy","Root","","","belki","may be"
465,"شرر","$rr","Root","to do evil, be ill natured, wicked. yashirru/yasharru - to find fault, defame. sharrun (pl. ashrar) - evil, bad, wicked, vicious ones. It is noteable that shurrun is an exceptional form of elative adjective while the measure for elative in Arabic is afa'la. shararun (pl. ashraar) - sparks of fire.","","şer","bad"
466,"صدد","Sdd","Root","to turn away, divert, hinder, avert. sadiidan - to shun a thing, shrink from, raise, clamour, shout, cry aloud. saddun - the act of hindering, diverting or turning away. sadiid - anything that is repulsive, hot or boiling water.","","menedip","hinder"
467,"زيل","zyl","Root","(with negatives ma, la, or lam) does not cease, to continue, still yet. to put or set apart/aside, to separate/remove/disperse.","","daima","ceased"
468,"حبط","HbT","Root","To go in vain, be fruitless, perish, be of no avail, be useless, come to naught, become ineffective. To eat much, to be swollen or have pain in the belly from much eating or eating that which is unwholesome, to have one's work or deed null or void, of no account, to do or go for nothing, turn away from, avoid/shun.","","boşa çıkar","worthless"
469,"هجر","hjr","Root","to leave/abandon/desert/forsake/depart/renounce/quit, separate oneself from, break with, abstain from, shun, leave with body or tongue or heart, leave lust and bad manners. hijr - bad manner, shameful action, nonsense talk.","","kaçın","avoid"
470,"جهد","jhd","Root","To strive or labour or toil, exert oneself or his power or efforts, employ oneself vigorously or diligently or studiously, take extra pains, put oneself to trouble or fatigue, examine someone or something, to burden or weaken or fatigue beyond one's power, churn and extract from a thing, very eagerly desire or long for something, lay upon or compress, become manifest, to fight for a cause, be in a state of extreme difficulty or trouble, meditate upon something, to overload (such as a camel or cattle), strive after, struggle against difficulties.","","güçlü","strive"
471,"رجو","rjw","Root","to hope/expect, an opinion requiring the happening of an event in which will be a cause of happiness; expectation of deriving advantage from an event of which a cause has already occurred, keep awaited, put off, put aside, defer/delay, fear, beg/request. arja' (pl.) - borders, sides. marjowwon is a person in whom great hopes are placed (e.g. 11:62).","","umuyor","hope"
472,"خمر","xmr","Root","cover/conceal/veil, becoming changed/altered from a former state/condition, mixed/mingled/incorporated/blended, intoxication/wine/grapes, make-up, any intoxicating thing that clouds/obscures the intellect, come upon secretly/unexpectedly, crowding of people, odour of perfume, women's head cover, man's turban, something fermented/matured.","","şarap","wine"
473,"فكر","fkr","Root","thought upon it, considered it in order to obtain a clear knowledge of it, examined it (mentally), to employ the mind, having much thought, reflect.","","düşünen","ponder"
474,"خلط","xlT","Root","To mix/intermingle/incorporate/blend, put together with another thing, confuse/confound/disorder, to perplex or disturb, to have intercourse (i.e. a man with his wife, or with a woman), to penetrate into [ TA - khalthu ash-shaybu (the arrow penetrated into him) ], to infect or pervade, associate/converse, become intimate with, enter into a confederacy/league/compact/covenant, good natured/disposition.","","karıştı","so absorbs"
475,"عنت","Ent","Root","to meet with difficulty, fall into distress, be overburdened, commit a crime, be spoiled, constrain anyone to do a thing, cause anyone to perish, beat harshly. a'nata - to bring anyone into difficulty, beat roughly, cause annoyance, confuse. anatun - sin/crime/mistake/difficulty.","","sizi zora sokardı","you suffer"
476,"نكح","nkH","Root","to tie, make a knot, contract, to marry, marriage.","","alın","marry"
477,"امو","Amw","Root","female/woman made/became a slave, handmaid, utter a cry, follow/imitate.","","bir cariye","And a bondwoman"
478,"حيض","HyD","Root","To have her courses, menstruate; Her blood flowed from her womb, to attain the age of menstruation, to make a thing flow.","","adet","the menstruation"
479,"عزل","Ezl","Root","to set aside, remove from. ma'zilun - a place separate from the rest, secluded spot, place of retirement, far away. ma'zulun - removed. i'tizal (vb. 8) to separate or remove one self from.","","çekilin","apart"
480,"اني","Any","Root","Its time came; or it was, or became, or drew, near; It (a thing) was, or became, behind, or after, its time; it, or he, (a man) was, or became, behind, backward, or late; it, or he, delayed, or held back. He postponed it, put it off, deferred it, delayed it, retarded it, withheld it, impeded it; An hour, or a short portion, or a time, or an indefinite time; any period of time; the utmost point, reach or degree; A thing of which the time has come, or drawn near: and which has come, or attained, to its time; to its full, or final, time or state; to maturity, or ripeness; signifies Whence? (being an interrogative respecting the direction, or quarter, from which a thing is) and whence (used to denote a condition); Where? and where (used to denote a condition and as one of the adverbial nouns used to denote a condition), whence-so-ever; wherever (from whatever direction or quarter): when; how; however.","","nasıl","How"
481,"يمن","ymn","Root","right side, right, right hand, oath, bless, lead to the right, be a cause of blessing, prosperous/fortunate/lucky.","","sağ","oaths"
482,"لغو","lgw","Root","To talk nonsense speech, to make mistake consciously or unconsciously, use vain words, idle talk, make noise and raise a hue and cry (to interrupt), talk frivolously (to drown the hearing of another), a slip in talk, unintentional talk, babble.","","boş söz","vain talk"
483,"حلم","Hlm","Root","To dream, have a vision. Attain to puberty. Experience an emission of seminal fluid (whether awake or in sleep), dream of copulation in sleep. To be forbearing or clement, to forgive and conceal offences, to be moderate/gentle/deliberate/leisurely in manner, patient.","","halim","dreams"
484,"الو","Alw","Root","fall short of doing the requisite/flag/remiss, slow/tardy/languid/weak, did not leave/quit/cease from/omit/neglect, swear, possessor, one who is superintended an affair, as far as/until, in addition to/joined to any other thing, to me, decreed against/revealed/on the","","ni'metinden","let swear"
485,"ربص","rbS","Root","to wait, lay in wait, stick, watch for an opportunity, an expectation, desist from (with 'an), watch for something, befall anyone, one who waits, one who withholds, or collects and withholds (e.g. wheat or the like, waiting for a time of dearness).","","gözetleyin","Wait"
486,"فيا","fyA","Root","to return, go back, go from (a vow), bring under the authority, change its place, shift, turn (shadow). fai - shade, gain of war, prisoner of war.","","verdiği","Incline"
487,"عزم","Ezm","Root","to resolve, determine, decide, propose, carry out a resolution, set one's heart upon, fixed determination.","","bir azim","the matters"
488,"طلق","Tlq","Root","to be free from bond, be divorced, be repudiated. talaaq - divorce. ta'allaqa (vb. 2) - to divorce/quit/leave. mutallaqatun - divorced woman. intalaqa - to start doing something, depart, set out in doing something, go ones way, be free or loose.","","gidin","Proceed"
489,"بعل","bEl","Root","","","Ba'l'e","Baal"
490,"رجل","rjl","Root","to go on foot, urge with foot, walk, tie by the feet, let (a female) suckle her young, be curly (hair), set free with his mother. rajjala - to comfort anyone, comb the hair, grant a respite. tarajjala - to go down without rope. rijlatun - vigour in walking. rijlun - foot, soldiers, good walker, tramp. arajil - hunters, pedestrian. rajulun - male human being, man, a person with heir. rajilun - foot, footmen (slow walkers). rijlain - two feet. arjul (pl.) - feet.","","yaya","men"
491,"درج","drj","Root","To walk step by step, proceed gradually, destroy by degrees, insert a thing, unwrap, come gradually to, deceive, show forbearance to (a sinner).","","derecesi","Ranks"
492,"مرر","mrr","Root","To pass or pass by or pass beyond, proceed, go along or go through or go over, go away or pass away, to run or flow (namely water), go across a thing, come upon, overcome, make a thing bitter or displeasing, to drag a thing along, to twist or turn a thing in an attempt to throw it down, to go on in a continuous/constant manner or course, to be firm/resolute/determined/strong, firmly resist a thing, to murmur or grumble, to shake or quiver or quake, move to and fro or from side to side, to be in a state of commotion, overcome by bile.","","kez","time"
493,"مسك","msk","Root","To retain, withhold, maintain, be tenacious or niggardly, hold fast a thing, arrest a thing, restrain/detain/confine/imprison a person, restrain or abstain from a thing, grasp/clutch/seize a thing, take a thing with the hand, intelligent or sound in judgement.","","tut","hold"
494,"سرح","srH","Root","","","bırakın","release them"
495,"اجل","Ajl","Root","assigned/appointed/specified/decreed term, period, day of resurrection, period between creation and death, period between death and resurrection, period remaining in the world, delay/postponed/deferral of time.","","süre","time"
496,"عضل","EDl","Root","to straiten, become hard/difficult, withhold unjustly, prevent, hinder.","","engel olmayın","hinder them"
497,"رضع","rDE","Root","he sucked the breast of his mother (said of a child), to suckle, wet nurse / suckling woman.","","süt","Suckle him"
498,"كسو","ksw","Root","To dress, clothe, garment, poor man, simple oblong piece of cloth, wrapper or a wrapping garment.","","ve giydirin","We cover them"
499,"كلف","klf","Root","To take pains, be zealous, be engrossed by an object.","","yüklemeyiz","burden"
500,"ورث","wrv","Root","to inherit, be heir to anyone, survive, be owner or sustainer of somebody after some one, succeed.","","mirası","inherit"
501,"فصل","fSl","Root","he separated/divided or put apart a thing from another thing, made a separation/partition, distinct/plain/clear/manifest, explain in detail, to distinguish, deciding between two things (e.g. what is true and what is not), distinct portion/section.","","hüküm","weaning"
502,"شور","$wr","Root","gather, extract, exhibit, show, display, examine, consult, debate, counsel, advice, make known, notify, command, order, enjoin.","","ve danışarak","and consultation"
503,"وذر","wpr","Root","to leave/forsake/neglect, fall upon, wound, cut in slices, let, desist.","","bırakma","leave"
504,"خبر","xbr","Root","To know/possess, have knowledge of a thing, to know a thing with respect to it's internal or real state, informed/acquainted.","","bilir","its news"
505,"خطب","xTb","Root","To recite/deliver an exhortation or admonition to the people, ask or demand a woman in marriage, talk/speak/converse or discourse with one, address one face-to-face, accost one with speech or words, consult with one, decide a case/pass sentence/judge with evident demonstration or proof or testimony confirmed by oath, have something within one's reach or power, hold a dialogue, seek or desire to do a thing, give a sermon/speech/oration.","","işiniz","speech"
